Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1975,213124000,487.8,9.6,26.3,,220.8,231.1,4810.7,1532.1,2804.8,473.7
1976,214659000,467.8,8.7,26.6,,199.3,233.2,4819.5,1448.2,2921.3,450
1977,216332000,475.9,8.8,29.4,,190.7,247,4601.7,1419.8,2729.9,451.9
1978,218059000,497.8,9,31,,195.8,262.1,4642.5,1434.6,2747.4,460.5
1979,220099000,548.9,9.8,34.7,,218.4,286,5016.6,1511.9,2999.1,505.6
1980,225349264,596.6,10.2,36.8,,251.1,298.5,5353.3,1684.1,3167,502.2
1981,229465714,593.5,9.8,36,,258.4,289.3,5256.5,1647.2,3135.3,474.1
1982,231664458,570.8,9.1,34,,238.8,289,5029.7,1488,3083.1,458.6
1983,233791994,538.1,8.3,33.8,,216.7,279.4,4641.1,1338.7,2871.3,431.1
1984,235824902,539.9,7.9,35.7,,205.7,290.6,4498.5,1265.5,2795.2,437.7
1985,237923795,558.1,8,36.8,,209.3,304,4666.4,1291.7,2911.2,463.5
1986,240132887,620.1,8.6,38.1,,226,347.4,4881.8,1349.8,3022.1,509.8
1987,242288918,612.5,8.3,37.6,,213.7,352.9,4963,1335.7,3095.4,531.9
1988,244498982,640.6,8.5,37.8,,222.1,372.2,5054,1316.2,3151.7,586.1
1989,246819230,666.9,8.7,38.3,,234.3,385.6,5107.1,1283.6,3189.6,634
1990,249464396,729.6,9.4,41.1,,256.3,422.9,5073.1,1232.2,3185.1,655.8
1991,252153092,758.2,9.8,42.3,,272.7,433.4,5140.2,1252.1,3229.1,659
1992,255029699,757.7,9.3,42.8,,263.7,441.9,4903.7,1168.4,3103.6,631.6
1993,257782608,747.1,9.5,41.1,,256,440.5,4740,1099.7,3033.9,606.3
1994,260327021,713.6,9,39.3,,237.8,427.6,4660.2,1042.1,3026.9,591.3
1995,262803276,684.5,8.2,37.1,,220.9,418.3,4590.5,987,3043.2,560.3
1996,265228572,636.6,7.4,36.3,,201.9,391,4451,945,2980.3,525.7
1997,267783607,611,6.8,35.9,,186.2,382.1,4316.3,918.8,2891.8,505.7
1998,270248003,567.6,6.3,34.5,,165.5,361.4,4052.5,863.2,2729.5,459.9
1999,272690813,523,5.7,32.8,,150.1,334.3,3743.6,770.4,2550.7,422.5
2000,281421906,506.5,5.5,32,,145,324,3618.3,728.8,2477.3,412.2
2001,285317559,504.5,5.6,31.8,,148.5,318.6,3658.1,741.8,2485.7,430.5
2002,287973924,494.4,5.6,33.1,,146.1,309.5,3630.6,747,2450.7,432.9
2003,290788976,475.8,5.7,32.3,,142.5,295.4,3591.2,741,2416.5,433.7
2004,293656842,463.2,5.5,32.4,,136.7,288.6,3514.1,730.3,2362.3,421.5
2005,296507061,469,5.6,31.8,,140.8,290.8,3431.5,726.9,2287.8,416.8
2006,299398484,479.3,5.8,31.6,,150,292,3346.6,733.1,2213.2,400.2
2007,301621157,471.8,5.7,30.6,,148.3,287.2,3276.4,726.1,2185.4,364.9
2008,304059724,458.6,5.4,29.8,,145.9,277.5,3214.6,733,2166.1,315.4
2009,307006550,431.9,5,29.1,,133.1,264.7,3041.3,717.7,2064.5,259.2
2010,309330219,404.5,4.8,27.7,,119.3,252.8,2945.9,701,2005.8,239.1
2011,311587816,387.1,4.7,27,,113.9,241.5,2905.4,701.3,1974.1,230
2012,313873685,387.8,4.7,27.1,,113.1,242.8,2868,672.2,1965.4,230.4
2013,316497531,379.1,4.5,25.9,35.9,109,229.6,2733.3,610.4,1901.6,221.3
2014,318857056,375.7,4.5,26.4,36.6,102.2,232.5,2596.1,542.5,1837.3,216.2
2015,,372.6,,,,,,2478,,,
2016,,386.3,,,,,,2450.7,,,
2017,,382.9,,,,,,2362.2,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"		",,,,,,,,,,,
"		",,,,,,,,,,,
"		",,,,,,,,,,,
"		",,,,,,,,,,,
"		",,,,,,,,,,,
"		",,,,,,,,,,,
"		",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
